blocktime,change,cum_sum,incentives,stSOL_price,incentive_price,stSOL_usd,incentives_usd
2022-01-09,19709.146378641,1363886.5157635666,5666.66,145.82710895843826,2.6796987742546623,2874127.83643589,15184.941856117925
2022-01-10,2688.9829346030033,1366575.4986981696,5666.66,143.9520767505804,2.9280907142263137,387084.67778297246,16592.49452667768
2022-01-11,33971.59618282802,1400547.0948809977,5666.66,138.52682120459937,2.7076012629716364,4705977.230453468,15343.055772830852
2022-01-12,14344.466790651,1414891.5616716486,5666.66,143.27248327798023,2.9733054440298643,2055167.3783950882,16848.71102746627
2022-01-13,17756.307571801983,1432647.8692434507,5666.66,155.41328758846316,2.887946127228373,2759566.1351656676,16365.008801319933
2022-01-14,36508.55381377105,1469156.4230572218,5666.66,149.6459398836306,2.6707114348530694,5463356.849253875,15134.013659424494
2022-01-15,110495.02736896196,1579651.4504261839,5666.66,149.48066398455907,2.558287650600953,16516870.058104461,14496.946298154397
2022-01-16,14219.619625298004,1593871.070051482,5666.66,150.62582870820034,2.520292249037129,2141841.9899759013,14281.639275928737
2022-01-17,96681.60901145499,1690552.679062937,5666.66,150.83581178901545,2.481244874341739,14583048.980311004,14060.371079637358
2022-01-18,11296.719509389002,1701849.398572326,5666.66,143.0914207749054,2.1673661265068924,1616463.6446940647,12281.726934431546
2022-01-19,6883.527751166999,1708732.926323493,5666.66,144.6800577946372,2.349388346170828,995909.1928698305,13313.184965712382
2022-01-20,-2587.6910031349958,1706145.235320358,5666.66,138.59178101239254,2.2182979775782705,-358632.7048342237,12570.340417623682
