borrower,bETHcollateral,percent,ust_loan,bLunacollateral
terra1yknel96emq74vpuaeqk00r8u3aw7ld5f9jt0uf,100000000.0,0.6414375076034015,373962504090,10000000000.0
terra1wda7prarg6w93n2yjak78l783cjhds54ml0mpp,100000000.0,0.6426102779412274,693167969257,40350340676.0
terra1e8qs95v7s9yxwlhyryrgvyvqxdd3rggs3hehj7,99999999.0,0.6437830482673257,152970069206,0.0
terra1sq8h88v8uuyuezk54krgcampx6depkferuga2f,99999999.0,0.644955818593424,271935541818,5000000000.0
terra18tznek6zzxswss0gguuuq44ngrm2ewqplj5mht,99999999.0,0.6461285889195222,400583217882,11089133038.0
terra1gvrggs8rukmg37p35mp773mrvfeklhwwa57x0j,99999999.0,0.6473013592456205,400698230448,12000913773.0
terra1f0l7cv97df32rsthp2x4lmfh9e7p5uk704cd89,99999997.0,0.6484741295482634,152070773376,0.0
terra1s406k3vmrhsd2gdmznxe2paz90d6ycpufrg2ea,99993520.0,0.6496468238905715,148413209542,0.0
terra1fh8xlrejjwaxsj6eparpj5tfkpm4gxk49268fv,99899999.0,0.650818421446332,122165820040,898543151.0
terra1cr8gvqj86duhgfpvjs5x237v4wfsf0qykacsjx,99628998.0,0.6519868407827492,2638354237768,104777792176.0
terra1u6xtjwgecdew87pt39kluckamnnuxyr6wsmkek,98000000.0,0.6531361557138187,179009884011,0.0
terra19ewtncrrgyh7wzytlhmxtyhvn029dtsp7vchyc,96861553.0,0.6542721192761602,153621587778,5965531533.0
terra1phm5lea7qmrhen5y40r4e8k97hyxv4crahdkar,96229746.0,0.6554006731934136,208356139419,1657920069.0
terra15uccjcqjkf0t9v32g6p7cesx9xz5e5ler2xhy7,95721703.0,0.6565232689330595,129252277500,0.0
terra1tx7lk4fxh9h8e3klaqxvhr0jlhsm7gl54jf4pc,95499999.0,0.6576432645939555,130410160045,0.0
terra12nycv98cf2fzngyhm8qs6g9luhghdsh8xlqpmm,95329989.0,0.6587612664280003,226969692011,1443747802.0
terra162ttv3zupc8k3m6dk6nsvrp4gevfawx9e94yds,92109996.0,0.659841505139261,415591980349,15327100454.0
terra15kcdq7g63d8sa7g8049a3uhjzr40la2vzz8wdc,92002032.0,0.6609204776807541,1701500936190,71900645340.0
